Setting,Scenario,Protocol,Seed,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
udp_burst,congested_heavy,TcpBbr,43,26.492339,0.052985,0.201269,0.009031,0.000000,0.863497,comparison-udp/congested_heavy_TcpBbr_s43.flowmonitor
udp_burst,congested_heavy,TcpBbr,44,26.557163,0.053114,0.187517,0.007875,0.000000,0.807598,comparison-udp/congested_heavy_TcpBbr_s44.flowmonitor
udp_burst,congested_heavy,TcpCubic,42,383.531159,0.767062,6.500851,0.093000,0.000000,0.999920,comparison-udp/congested_heavy_TcpCubic_s42.flowmonitor
udp_burst,congested_heavy,TcpCubic,43,383.531159,0.767062,6.500851,0.093000,0.000000,0.999920,comparison-udp/congested_heavy_TcpCubic_s43.flowmonitor
udp_burst,congested_heavy,TcpCubic,44,383.531159,0.767062,6.500851,0.093000,0.000000,0.999920,comparison-udp/congested_heavy_TcpCubic_s44.flowmonitor
udp_burst,congested_heavy,TcpNewReno,42,383.531159,0.767062,7.075730,0.093896,0.000000,0.999924,comparison-udp/congested_heavy_TcpNewReno_s42.flowmonitor
udp_burst,congested_heavy,TcpNewReno,43,383.531159,0.767062,7.075730,0.093896,0.000000,0.999924,comparison-udp/congested_heavy_TcpNewReno_s43.flowmonitor
udp_burst,congested_heavy,TcpNewReno,44,383.531159,0.767062,7.075730,0.093896,0.000000,0.999924,comparison-udp/congested_heavy_TcpNewReno_s44.flowmonitor
udp_burst,congested_heavy,TcpSwift,42,347.776247,0.695552,0.387846,0.024302,0.000000,0.999918,comparison-udp/congested_heavy_TcpSwift_s42.flowmonitor
udp_burst,congested_heavy,TcpSwift,43,347.776247,0.695552,0.387846,0.024302,0.000000,0.999918,comparison-udp/congested_heavy_TcpSwift_s43.flowmonitor
udp_burst,congested_heavy,TcpSwift,44,347.776247,0.695552,0.387846,0.024302,0.000000,0.999918,comparison-udp/congested_heavy_TcpSwift_s44.flowmonitor
udp_burst,dc_100m,TcpBbr,42,6.095379,0.060954,1.530253,0.048806,0.000000,0.983962,comparison-udp/dc_100m_TcpBbr_s42.flowmonitor
udp_burst,dc_100m,TcpBbr,43,6.015709,0.060157,1.101883,0.045786,0.000000,0.914742,comparison-udp/dc_100m_TcpBbr_s43.flowmonitor
udp_burst,dc_100m,TcpBbr,44,6.139158,0.061392,1.530589,0.051651,0.000000,0.982327,comparison-udp/dc_100m_TcpBbr_s44.flowmonitor
udp_burst,dc_100m,TcpCubic,42,75.973332,0.759733,15.022031,0.469984,0.000000,0.999889,comparison-udp/dc_100m_TcpCubic_s42.flowmonitor
udp_burst,dc_100m,TcpCubic,43,75.973332,0.759733,15.022031,0.469984,0.000000,0.999889,comparison-udp/dc_100m_TcpCubic_s43.flowmonitor
udp_burst,dc_100m,TcpCubic,44,75.973332,0.759733,15.022031,0.469984,0.000000,0.999889,comparison-udp/dc_100m_TcpCubic_s44.flowmonitor
udp_burst,dc_100m,TcpNewReno,42,74.911385,0.749114,14.874879,0.379470,0.000000,0.999884,comparison-udp/dc_100m_TcpNewReno_s42.flowmonitor
udp_burst,dc_100m,TcpNewReno,43,74.911385,0.749114,14.874879,0.379470,0.000000,0.999884,comparison-udp/dc_100m_TcpNewReno_s43.flowmonitor
udp_burst,dc_100m,TcpNewReno,44,74.911385,0.749114,14.874879,0.379470,0.000000,0.999884,comparison-udp/dc_100m_TcpNewReno_s44.flowmonitor
udp_burst,dc_100m,TcpSwift,42,69.792189,0.697922,1.967149,0.124128,0.000000,0.999921,comparison-udp/dc_100m_TcpSwift_s42.flowmonitor
udp_burst,dc_100m,TcpSwift,43,69.792189,0.697922,1.967149,0.124128,0.000000,0.999921,comparison-udp/dc_100m_TcpSwift_s43.flowmonitor
