2026-09-10T05:51:53Z | logs/manifest.json | all scenarios | all protocols | recorded size and SHA-256 metadata are stale for plots/summary.csv, plots-udp/summary.csv, and summary/kpi_forward.csv; current CSV metrics were independently reproduced from all 288 FlowMonitor XML files within rounding tolerance | none (manifest integrity metadata only)
2026-09-17T07:44:19.168000Z | logs/real/comparison/cross_dc_wan_TcpBbr_s42.flowmonitor | cross_dc_wan | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/rdma_like_25g_TcpSwift_s42.flowmonitor | rdma_like_25g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/rdma_like_25g_TcpNewReno_s42.flowmonitor | rdma_like_25g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/rdma_like_25g_TcpCubic_s42.flowmonitor | rdma_like_25g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/rdma_like_25g_TcpBbr_s42.flowmonitor | rdma_like_25g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/rdma_like_50g_TcpSwift_s42.flowmonitor | rdma_like_50g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/rdma_like_50g_TcpNewReno_s42.flowmonitor | rdma_like_50g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/rdma_like_50g_TcpCubic_s42.flowmonitor | rdma_like_50g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/rdma_like_50g_TcpBbr_s42.flowmonitor | rdma_like_50g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/mixed_small_flow_TcpSwift_s42.flowmonitor | mixed_small_flow | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/mixed_small_flow_TcpNewReno_s42.flowmonitor | mixed_small_flow | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/mixed_small_flow_TcpCubic_s42.flowmonitor | mixed_small_flow | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/mixed_small_flow_TcpBbr_s42.flowmonitor | mixed_small_flow | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/mixed_large_flow_TcpSwift_s42.flowmonitor | mixed_large_flow | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/mixed_large_flow_TcpNewReno_s42.flowmonitor | mixed_large_flow | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/mixed_large_flow_TcpCubic_s42.flowmonitor | mixed_large_flow | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/mixed_large_flow_TcpBbr_s42.flowmonitor | mixed_large_flow | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/asymmetric_high_TcpSwift_s42.flowmonitor | asymmetric_high | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/asymmetric_high_TcpNewReno_s42.flowmonitor | asymmetric_high | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/asymmetric_high_TcpCubic_s42.flowmonitor | asymmetric_high | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/asymmetric_high_TcpBbr_s42.flowmonitor | asymmetric_high | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/symmetric_low_TcpSwift_s42.flowmonitor | symmetric_low | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/symmetric_low_TcpNewReno_s42.flowmonitor | symmetric_low | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/symmetric_low_TcpCubic_s42.flowmonitor | symmetric_low | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/symmetric_low_TcpBbr_s42.flowmonitor | symmetric_low | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_100m_TcpSwift_s42.flowmonitor | dc_100m | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_100m_TcpNewReno_s42.flowmonitor | dc_100m | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_100m_TcpCubic_s42.flowmonitor | dc_100m | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_100m_TcpBbr_s42.flowmonitor | dc_100m | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_500m_TcpSwift_s42.flowmonitor | dc_500m | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_500m_TcpNewReno_s42.flowmonitor | dc_500m | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_500m_TcpCubic_s42.flowmonitor | dc_500m | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_500m_TcpBbr_s42.flowmonitor | dc_500m | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_100g_TcpSwift_s42.flowmonitor | dc_100g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_100g_TcpNewReno_s42.flowmonitor | dc_100g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_100g_TcpCubic_s42.flowmonitor | dc_100g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_100g_TcpBbr_s42.flowmonitor | dc_100g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_oversub_10to1_TcpSwift_s42.flowmonitor | dc_oversub_10to1 | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_oversub_10to1_TcpNewReno_s42.flowmonitor | dc_oversub_10to1 | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_oversub_10to1_TcpCubic_s42.flowmonitor | dc_oversub_10to1 | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/dc_oversub_10to1_TcpBbr_s42.flowmonitor | dc_oversub_10to1 | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_ac_TcpSwift_s42.flowmonitor | wifi_ac | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_ac_TcpNewReno_s42.flowmonitor | wifi_ac | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_ac_TcpCubic_s42.flowmonitor | wifi_ac | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_ac_TcpBbr_s42.flowmonitor | wifi_ac | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_ax_TcpSwift_s42.flowmonitor | wifi_ax | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_ax_TcpNewReno_s42.flowmonitor | wifi_ax | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_ax_TcpCubic_s42.flowmonitor | wifi_ax | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_ax_TcpBbr_s42.flowmonitor | wifi_ax | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_n_TcpSwift_s42.flowmonitor | wifi_n | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_n_TcpNewReno_s42.flowmonitor | wifi_n | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_n_TcpCubic_s42.flowmonitor | wifi_n | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_n_TcpBbr_s42.flowmonitor | wifi_n | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_legacy_TcpSwift_s42.flowmonitor | wifi_legacy | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_legacy_TcpNewReno_s42.flowmonitor | wifi_legacy | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_legacy_TcpCubic_s42.flowmonitor | wifi_legacy | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wifi_legacy_TcpBbr_s42.flowmonitor | wifi_legacy | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/lte_good_TcpSwift_s42.flowmonitor | lte_good | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/lte_good_TcpNewReno_s42.flowmonitor | lte_good | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/lte_good_TcpCubic_s42.flowmonitor | lte_good | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/lte_good_TcpBbr_s42.flowmonitor | lte_good | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/lte_poor_TcpSwift_s42.flowmonitor | lte_poor | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/lte_poor_TcpNewReno_s42.flowmonitor | lte_poor | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/lte_poor_TcpCubic_s42.flowmonitor | lte_poor | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/lte_poor_TcpBbr_s42.flowmonitor | lte_poor | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/nr_5g_embb_TcpSwift_s42.flowmonitor | nr_5g_embb | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/nr_5g_embb_TcpNewReno_s42.flowmonitor | nr_5g_embb | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/nr_5g_embb_TcpCubic_s42.flowmonitor | nr_5g_embb | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/nr_5g_embb_TcpBbr_s42.flowmonitor | nr_5g_embb | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/nr_5g_edge_TcpSwift_s42.flowmonitor | nr_5g_edge | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/nr_5g_edge_TcpNewReno_s42.flowmonitor | nr_5g_edge | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/nr_5g_edge_TcpCubic_s42.flowmonitor | nr_5g_edge | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/nr_5g_edge_TcpBbr_s42.flowmonitor | nr_5g_edge | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wan_metro_TcpSwift_s42.flowmonitor | wan_metro | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wan_metro_TcpNewReno_s42.flowmonitor | wan_metro | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wan_metro_TcpCubic_s42.flowmonitor | wan_metro | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wan_metro_TcpBbr_s42.flowmonitor | wan_metro | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wan_longhaul_TcpSwift_s42.flowmonitor | wan_longhaul | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wan_longhaul_TcpNewReno_s42.flowmonitor | wan_longhaul | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wan_longhaul_TcpCubic_s42.flowmonitor | wan_longhaul | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/wan_longhaul_TcpBbr_s42.flowmonitor | wan_longhaul | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/satellite_leo_TcpSwift_s42.flowmonitor | satellite_leo | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/satellite_leo_TcpNewReno_s42.flowmonitor | satellite_leo | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/satellite_leo_TcpCubic_s42.flowmonitor | satellite_leo | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/satellite_leo_TcpBbr_s42.flowmonitor | satellite_leo | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/satellite_geo_TcpSwift_s42.flowmonitor | satellite_geo | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/satellite_geo_TcpNewReno_s42.flowmonitor | satellite_geo | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/satellite_geo_TcpCubic_s42.flowmonitor | satellite_geo | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/satellite_geo_TcpBbr_s42.flowmonitor | satellite_geo | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison-udp/intra_rack_10g_TcpSwift_s42.flowmonitor | intra_rack_10g | TcpSwift | missing native run for udp_burst, RngRun=42 | all metrics
